500002,ABB India Limited,Heavy Electrical Equipment
500003,AEGIS LOGISTICS LTD.,Oil Marketing & Distribution
500008,AMARA RAJA BATTERIES LTD.,Auto Parts & Equipment
500009,AMBALAL SARABHAI ENTERPRISES LTD.,Pharmaceuticals
500010,HOUSING DEVELOPMENT FINANCE CORP.LTD.,Housing Finance 
500012,ANDHRA PETROCHEMICALS LTD.,Commodity Chemicals
500013,ANSAL PROPERTIES & INFRASTRUCTURE LTD.,Realty
500014,Utique Enterprises Ltd,Finance (including NBFCs)
500016,ARUNA HOTELS LTD.,Hotels
500020,BOMBAY DYEING & MFG.CO.LTD.,Textiles
500023,Asian Hotels (North) Limited,Hotels
500027,ATUL LTD.,Specialty Chemicals
500028,ATV PROJECTS INDIA LTD.,Construction & Engineering
500031,BAJAJ ELECTRICALS LTD.-$,Household Appliances
500032,Bajaj Hindusthan Sugar Limited,Sugar
500033,FORCE MOTORS LTD.-$,Cars & Utility Vehicles
500034,Bajaj Finance Limited,Finance (including NBFCs)
500038,BALRAMPUR CHINI MILLS LTD.,Sugar
500039,BANCO PRODUCTS (INDIA) LTD.-$,Auto Parts & Equipment
500040,CENTURY TEXTILES & INDUSTRIES LTD.,Paper & Paper Products
500041,BANNARI AMMAN SUGARS LTD.,Sugar
500042,BASF INDIA LTD.,Specialty Chemicals
500043,BATA INDIA LTD.,Footwear
500048,BEML LTD.,Commercial Vehicles
500049,BHARAT ELECTRONICS LTD.,Defence
500052,BHANSALI ENGINEERING POLYMERS LTD.-$,Specialty Chemicals
500055,Tata Steel Bsl Ltd,Iron & Steel/Interm.Products
500058,BIHAR SPONGE IRON LTD.,Iron & Steel/Interm.Products
500060,Birla Cable Ltd,Other Elect.Equip./ Prod.
500067,BLUE STAR LTD.,Consumer Electronics
500068,DISA INDIA LTD.,Industrial Machinery
500069,BNK CAPITAL MARKETS LTD.,Other Financial Services
500074,BPL LTD.,Consumer Electronics
500078,Oriental Aromatics Ltd-$,Specialty Chemicals
500083,CENTURY EXTRUSIONS LTD.,Aluminium
500084,CESC LTD.,Electric Utilities
500085,CHAMBAL FERTILISERS & CHEMICALS LTD.,Fertilizers
500086,EXIDE INDUSTRIES LTD.,Auto Parts & Equipment
500087,CIPLA LTD.,Pharmaceuticals
500089,DIC INDIA LTD.,Specialty Chemicals
500092,CRISIL LTD.,Other Financial Services
500093,CG Power and Industrial Solutions Ltd,Heavy Electrical Equipment
500096,DABUR INDIA LTD.,Personal Products
500097,Dalmia Bharat Sugar and Industries Ltd,Sugar
500101,ARVIND LTD.,Textiles
500102,BALLARPUR INDUSTRIES LTD.,Paper & Paper Products
500103,BHARAT HEAVY ELECTRICALS LTD.,Heavy Electrical Equipment
500104,HINDUSTAN PETROLEUM CORPORATION LTD.,Refineries/ Petro-Products
500106,IFCI LTD.,Financial Institutions
500108,MAHANAGAR TELEPHONE NIGAM LTD.,Telecom Services
500109,MANGALORE REFINERY & PETROCHEMICALS LTD.,Refineries/ Petro-Products
500110,CHENNAI PETROLEUM CORPORATION LTD.,Refineries/ Petro-Products
500111,RELIANCE CAPITAL LTD.,Finance (including NBFCs)
500112,STATE BANK OF INDIA,Banks
500113,STEEL AUTHORITY OF INDIA LTD.,Iron & Steel/Interm.Products
500114,Titan Company Limited,Other Apparels & Accessories
500116,IDBI BANK LTD.,Banks
500117,DCW LTD.,Petrochemicals
500119,DHAMPUR SUGAR MILLS LTD.,Sugar
500120,DIAMINES & CHEMICALS LTD.-$,Specialty Chemicals
500123,ELANTAS BECK INDIA LTD.-$,Commodity Chemicals
500124,DR.REDDY&#39;S LABORATORIES LTD.,Pharmaceuticals
500125,E.I.D.-PARRY (INDIA) LTD.,Sugar
500126,Procter & Gamble Health Ltd,Pharmaceuticals
500128,ELECTROSTEEL CASTINGS LTD.,Construction & Engineering
500133,ESAB INDIA LTD.,Other Industrial Goods
500135,EPL Ltd,Containers & Packaging
500136,ESTER INDUSTRIES LTD.,Containers & Packaging
500142,FGP LTD.,Finance (including NBFCs)
500143,PH CAPITAL LTD.,Comm.Trading  & Distribution
500144,FINOLEX CABLES LTD.,Other Elect.Equip./ Prod.
500147,John Cockerill India Ltd-$,Industrial Machinery
500148,UFLEX LTD.,Containers & Packaging
500150,FOSECO INDIA LTD.,Commodity Chemicals
500151,GOLDEN TOBACCO LTD.,Cigarettes-Tobacco Products
500153,GANESH BENZOPLAST LTD.,Commodity Chemicals
500159,Metroglobal Limited,Paper & Paper Products
500160,GTL LTD.,Other Telecom Services
500163,GODFREY PHILLIPS INDIA LTD.,Cigarettes-Tobacco Products
500164,GODREJ INDUSTRIES LTD.,Commodity Chemicals
500165,KANSAI NEROLAC PAINTS LTD.,Furniture-Furnishing-Paints
500166,GOODRICKE GROUP LTD.,Tea & Coffee
500168,GOODYEAR INDIA LTD.,Auto Tyres & Rubber Products
500170,GTN INDUSTRIES LTD.,Textiles
500171,GHCL LTD.,Commodity Chemicals
500173,GFL Ltd,Industrial Gases
500174,GUJARAT LEASE FINANCING LTD.,Finance (including NBFCs)
500179,HCL INFOSYSTEMS LTD.,Computer Hardware
500180,HDFC Bank Ltd,Banks
500182,HERO MOTOCORP LTD.,2/3 Wheelers
500183,HFCL Ltd,Telecom Cables
500184,Himadri Speciality Chemical Ltd,Specialty Chemicals
500185,HINDUSTAN CONSTRUCTION CO.LTD.,Construction & Engineering
500186,HINDUSTAN OIL EXPLORATION CO.LTD.,Exploration & Production
500187,HSIL LTD.,Containers & Packaging
500188,HINDUSTAN ZINC LTD.,Zinc
500189,Nxtdigital Ltd,Broadcasting & Cable TV
500191,HMT LTD.,Commercial Vehicles
500192,PRAG BOSIMI SYNTHETICS LTD.,Textiles
500193,HLV Ltd,Hotels
500199,I G PETROCHEMICALS LTD.,Commodity Chemicals
500201,INDIA GLYCOLS LTD.,Commodity Chemicals
500202,INDIA LEASE DEVELOPMENT LTD.,Finance (including NBFCs)
500206,Margo Finance Limited,Finance (including NBFCs)
500207,INDO RAMA SYNTHETICS (INDIA) LTD.,Textiles
500209,INFOSYS LTD.,IT Consulting & Software
500210,INGERSOLL-RAND (INDIA) LTD.,Industrial Machinery
500211,INSILCO LTD.,Other Industrial Goods
500212,INTEGRATED FINANCIAL SERVICES LTD.,Finance (including NBFCs)
500213,INTERNATIONAL TRAVEL HOUSE LTD.-$,Travel Support Services
500214,ION EXCHANGE (INDIA) LTD.-$,Industrial Machinery
500215,AGRO TECH FOODS LTD.,Other Agricultural Products
500219,JAIN IRRIGATION SYSTEMS LTD.,Plastic Products
500220,JASCH INDUSTRIES LTD.,Textiles
500223,JCT LTD.,Textiles
500227,JINDAL POLY FILMS LTD.,Containers & Packaging
500228,JSW STEEL LTD.,Iron & Steel/Interm.Products
500231,UMANG DAIRIES LTD.,Packaged Foods
500233,KAJARIA CERAMICS LTD.,Furniture-Furnishing-Paints
500234,KAKATIYA CEMENT SUGAR & INDUSTRIES LTD.,Cement & Cement Products
500235,KALYANI STEELS LTD.,Iron & Steel/Interm.Products
500236,Kanel Industries Limited,Comm.Trading  & Distribution
500238,WHIRLPOOL OF INDIA LTD.,Consumer Electronics
500239,KG DENIM LTD.,Textiles
500240,KINETIC ENGINEERING LTD.,2/3 Wheelers
500241,KIRLOSKAR BROTHERS LTD.-$,Industrial Machinery
500243,Kirloskar Industries Ltd,Industrial Machinery
500245,KIRLOSKAR FERROUS INDUSTRIES LTD.,Iron & Steel/Interm.Products
500246,ENVAIR ELECTRODYNE LTD.,Industrial Machinery
500247,KOTAK MAHINDRA BANK LTD.,Banks
500248,Krishna Filament Industries Ltd,Plastic Products
500249,KSB Ltd,Industrial Machinery
500250,L.G.BALAKRISHNAN & BROS.LTD.,Auto Parts & Equipment
500251,TRENT LTD.,Specialty Retail
500252,LAKSHMI MACHINE WORKS LTD.,Industrial Machinery
500253,LIC HOUSING FINANCE LTD.,Housing Finance 
500257,LUPIN LTD.,Pharmaceuticals
500259,LYKA LABS LTD.,Pharmaceuticals
500260,The Ramco Cements Limited,Cement & Cement Products
500264,MAFATLAL INDUSTRIES LTD.-$,Textiles
500265,MAHARASHTRA SEAMLESS LTD.,Construction & Engineering
500266,MAHARASHTRA SCOOTERS LTD.,Investment Companies
500267,MAJESTIC AUTO LTD.-$,2/3 Wheelers
500268,MANALI PETROCHEMICAL LTD.,Petrochemicals
500271,Max Financial Services Ltd,Life Insurance
500274,MESCO PHARMACEUTICALS LTD.,Pharmaceuticals
500277,MID INDIA INDUSTRIES LTD.,Textiles
500279,MIRC ELECTRONICS LTD.,Consumer Electronics
500280,CENTURY ENKA LTD.,Textiles
500284,LORDS CHLORO ALKALI LTD.,Commodity Chemicals
500285,SPICEJET LTD.,Airlines
500288,MOREPEN LABORATORIES LTD.,Pharmaceuticals
500290,MRF LTD.,Auto Tyres & Rubber Products
500292,HEIDELBERGCEMENT INDIA LTD.,Cement & Cement Products
500294,NCC Limited,Construction & Engineering
500295,Vedanta Limited,Aluminium
500296,NAHAR SPINNING MILLS LTD.,Textiles
500298,NATIONAL PEROXIDE LTD.,Commodity Chemicals
500300,GRASIM INDUSTRIES LTD.,Cement & Cement Products
500302,PIRAMAL ENTERPRISES LTD.,Other Financial Services
500304,NIIT LTD.,IT Training Services
500306,JAYKAY ENTERPRISES LTD.,Finance (including NBFCs)
500307,NIRLON LTD.,Misc.Commercial Services
500312,Oil and Natural Gas Corporation Ltd,Exploration & Production
500313,OIL COUNTRY TUBULAR LTD.,Oil Equipment & Services
500314,ORIENTAL HOTELS LTD.,Hotels
500317,OSWAL AGRO MILLS LTD.,Investment Companies
500319,INDIAN SUCROSE LTD.,Sugar
500325,RELIANCE INDUSTRIES LTD.,Integrated Oil & Gas
500327,Pil Italica Lifestyle Ltd,Plastic Products
500330,RAYMOND LTD.,Textiles
500331,PIDILITE INDUSTRIES LTD.,Specialty Chemicals
500333,PIX TRANSMISSIONS LTD.,Auto Tyres & Rubber Products
500335,BIRLA CORPORATION LTD.,Cement & Cement Products
500336,SURYA ROSHNI LTD.,Diversified
500337,PRIME SECURITIES LTD.,Other Financial Services
500338,Prism Johnson Ltd,Cement & Cement Products
500339,Rain Industries Ltd,Petrochemicals
500343,AMJ Land Holdings Ltd,Realty
500346,PUNJAB COMMUNICATIONS LTD.-$,Telecom Equipment
500350,RSWM LTD.,Textiles
500354,RAJSHREE SUGARS & CHEMICALS LTD.,Sugar
500355,RALLIS INDIA LTD.,Agrochemicals
500356,SHREE RAMA NEWSPRINT LTD.,Paper & Paper Products
500357,RAMA PAPER MILLS LTD.,Paper & Paper Products
500358,RAMA PETROCHEMICALS LTD.,Finance (including NBFCs)
500360,RAPICUT CARBIDES LTD.,Industrial Machinery
500365,Welspun Specialty Solutions Ltd,Iron & Steel/Interm.Products
500366,ROLTA INDIA LTD.,Internet Software & Services
500367,RUBFILA INTERNATIONAL LTD.,Auto Tyres & Rubber Products
500368,RUCHI SOYA INDUSTRIES LTD.,Edible Oils
500370,SALORA INTERNATIONAL LTD.,Comm.Trading  & Distribution
500378,JINDAL SAW LTD.,Construction & Engineering
500380,JK LAKSHMI CEMENT LTD.,Cement & Cement Products
500387,SHREE CEMENT LTD.,Cement & Cement Products
500388,SHREE KRISHNA PAPER MILLS & INDUSTRIES LTD.,Paper & Paper Products
500390,RELIANCE INFRASTRUCTURE LTD.,Electric Utilities
500400,TATA POWER CO.LTD.,Electric Utilities
500402,SPML Infra Limited,Construction & Engineering
500403,SUNDRAM FASTENERS LTD.,Auto Parts & Equipment
500404,SUNFLAG IRON & STEEL CO.LTD.,Iron & Steel/Interm.Products
500405,SUPREME PETROCHEM LTD.,Petrochemicals
500407,SWARAJ ENGINES LTD.,Auto Parts & Equipment
500408,TATA ELXSI LTD.,IT Software Products
500410,ACC LTD.,Cement & Cement Products
500411,THERMAX LTD.,Heavy Electrical Equipment
500412,THIRUMALAI CHEMICALS LTD.,Commodity Chemicals
500413,THOMAS COOK (INDIA) LTD.,Travel Support Services
500414,TIMEX GROUP INDIA LTD.-$,Other Apparels & Accessories
500418,TOKYO PLAST INTERNATIONAL LTD.,Plastic Products
500420,TORRENT PHARMACEUTICALS LTD.,Pharmaceuticals
500422,TRANSCHEM LTD.-$,Pharmaceuticals
500425,AMBUJA CEMENTS LTD.,Cement & Cement Products
500426,UTL Industries Limited,Realty
500429,UNIPHOS ENTERPRISES LTD.,Comm.Trading  & Distribution
500439,VARDHMAN HOLDINGS LTD.,Finance (including NBFCs)
500440,HINDALCO INDUSTRIES LTD.,Aluminium
500444,WEST COAST PAPER MILLS LTD.,Paper & Paper Products
500449,HINDUSTAN ORGANIC CHEMICALS LTD.,Commodity Chemicals
500450,MPIL CORPORATION LTD.,Other Financial Services
500456,PASUPATI ACRYLON LTD.,Fibres & Plastics
500458,Kore Foods Ltd,Other Food Products
500459,PROCTER & GAMBLE HYGIENE & HEALTH CARE LTD.,Personal Products
500460,MUKAND LTD.,Iron & Steel/Interm.Products
500463,AGC Networks Limited,IT Consulting & Software
500464,UCAL FUEL SYSTEMS LTD.,Auto Parts & Equipment
500467,HARRISONS MALAYALAM LTD.,Auto Tyres & Rubber Products
500469,FEDERAL BANK LTD.,Banks
500470,TATA STEEL LTD.,Iron & Steel/Interm.Products
500472,SKF India Ltd,Other Industrial Goods
500477,ASHOK LEYLAND LTD.,Commercial Vehicles
500480,CUMMINS INDIA LTD.,Industrial Machinery
500483,TATA COMMUNICATIONS LTD.,Telecom - Alternate Carriers
500488,ABBOTT INDIA LTD.,Pharmaceuticals
500490,BAJAJ HOLDINGS & INVESTMENT LTD.,Holding Companies
500493,BHARAT FORGE LTD.,Other Industrial Products
500495,ESCORTS LTD.,Commercial Vehicles
500500,HINDUSTAN MOTORS LTD.,Cars & Utility Vehicles
500510,LARSEN & TOUBRO LTD.,Construction & Engineering
500520,MAHINDRA & MAHINDRA LTD.,Cars & Utility Vehicles
500530,BOSCH LTD.,Auto Parts & Equipment
500540,PREMIER LTD.,Industrial Machinery
500547,BHARAT PETROLEUM CORPORATION LTD.,Refineries/ Petro-Products
500550,SIEMENS LTD.,Heavy Electrical Equipment
500570,TATA MOTORS LTD.,Commercial Vehicles
500575,VOLTAS LTD.,Consumer Electronics
500620,GREAT EASTERN SHIPPING CO.LTD.,Shipping
500645,DEEPAK FERTILISERS & PETROCHEMICALS CORPORATION LTD.,Commodity Chemicals
500650,EXCEL INDUSTRIES LTD.,Specialty Chemicals
500655,GARWARE POLYESTER LTD.,Commodity Chemicals
500660,GLAXOSMITHKLINE PHARMACEUTICALS LTD.,Pharmaceuticals
500670,GUJARAT NARMADA VALLEY FERTILIZERS & CHEMICALS LTD.,Fertilizers
500672,NOVARTIS INDIA LTD.,Pharmaceuticals
500674,Sanofi India Ltd,Pharmaceuticals
500680,PFIZER LTD.,Pharmaceuticals
500690,GUJARAT STATE FERTILIZERS & CHEMICALS LTD.,Fertilizers
500696,HINDUSTAN UNILEVER LTD.,Personal Products
500710,Akzo Nobel India Limited,Furniture-Furnishing-Paints
500730,NOCIL LTD.,Specialty Chemicals
500770,TATA CHEMICALS LTD.,Commodity Chemicals
500777,TAMILNADU PETROPRODUCTS LTD.,Commodity Chemicals
500780,ZUARI GLOBAL LTD.,Fertilizers
500790,NESTLE INDIA LTD.,Packaged Foods
500800,Tata Consumer Products Ltd,Tea & Coffee
500820,ASIAN PAINTS LTD.,Furniture-Furnishing-Paints
500825,BRITANNIA INDUSTRIES LTD.,Packaged Foods
500830,COLGATE-PALMOLIVE (INDIA) LTD.,Personal Products
500840,EIH LTD.,Hotels
500850,INDIAN HOTELS CO.LTD.,Hotels
500870,CASTROL INDIA LTD.,Oil Marketing & Distribution
500875,ITC LTD.,Cigarettes-Tobacco Products
